"$\beta$, $^{\circ}$","$h_0$, дел","$h_1$, дел","$h_2$, дел","$h_3$, дел","$h_4$, дел",$\delta$,$\upsilon_1$,$\upsilon$,$\upsilon_3$,,"$h_0 $, дел","$h_1 $, дел","$h_2 $, дел","$h_3 $, дел","$h_4 $, дел","$x$, см","$l$, см",$\upsilon $,$\delta $,$\upsilon_1 $,$\upsilon_2$
165,1,1,1,0.8,1,1,1,0.1,0.1,,3,3,3,2.4,3.8,14,-4,0.2,1,1,0.2
155,1,1,1,0.6,1.2,1,1,0.3,0.3,,3,3,3,1.2,4.8,16,0,0.6,1,1,0.6
145,1,1,1,0.4,1.6,1,1,0.6,0.6,,3,3,3,2.6,3.4,17,2,0.1,1,1,0.1
135,1,1,1,0.2,1.8,1,1,0.8,0.8,,3,3,3,2.2,3.4,18,4,0.2,1,1,0.2
125,1,1,1,0,2,1,1,1,1,,3,3,3,2.4,3.6,19,6,0.2,1,1,0.2
115,3,3,3,1.8,4.2,1,1,0.4,0.4,,3,3,3,2.6,3.6,20,8,0.2,1,1,0.2
105,3,3,3,1.8,4.2,1,1,0.4,0.4,,3,3,3,2.4,3.8,21,10,0.2,1,1,0.2
95,3,3,3,2,4.2,1,1,0.4,0.4,,3,3,3,2.4,3.8,22,12,0.2,1,1,0.2
85,3,3,3,2,4.2,1,1,0.4,0.4,,3,3,3,2.6,3.6,24,16,0.2,1,1,0.2
65,3,3,3,2.4,3.6,1,1,0.2,0.2,,3,3,3,2.8,3.4,30,28,0.1,1,1,0.1
45,3,3,3,2.6,3.4,1,1,0.1,0.1,,3,3,3,3,3.2,35,38,0,1,1,0
25,3,3,3,2.8,3.2,1,1,0.1,0.1,,3,3,3,2.8,3.2,40,48,0.1,1,1,0.1
5,3,3,3,2.8,3,1,1,0,0,,3,3,3,3,3.2,45,58,0,1,1,0
,,,,,,,,,,,3,3,3,3,3.2,50,68,0,1,1,0
,,,,,,,,,,,3,3,3,2.8,3.2,55,78,0.1,1,1,0.1
,,,,,,,,,,,3,3,3,3,3.2,60,88,0,1,1,0
,,,,,,,,,,,3,3,3,2.8,3.2,65,98,0.1,1,1,0.1
,,,,,,,,,,,3,3,3,2.8,3.4,70,108,0.1,1,1,0.1
,,,,,,,,,,,3,3,3,2.4,3.8,72,112,0.2,1,1,0.2
,,,,,,,,,,,3,3,3,2.2,4,74,116,0.3,1,1,0.3
,,,,,,,,,,,3,3,3,2.2,4,75,118,0.3,1,1,0.3
,,,,,,,,,,,3,3,3,1.4,4.6,76,120,0.5,1,1,0.5
,,,,,,,,,,,3,3,3,1.4,4.8,77,122,0.5,1,1,0.5
,,,,,,,,,,,3,3,3,2.6,3.6,78,124,0.2,1,1,0.2
,,,,,,,,,,,3,3,3,2.6,3.6,79,126,0.2,1,1,0.2
,,,,,,,,,,,3,3,3,2.8,3.4,80,128,0.1,1,1,0.1
,,,,,,,,,,,3,3,3,2.8,3.4,81,130,0.1,1,1,0.1
